Company,CompanyRating,CompanyReviewCount,Currency,JobLocation,JobPosted,JobTitle,MaxSalary,MinSalary,SalaryType,WorkModel
U.S. Bank National Association,3.6,11341,,"Dublin, County Dublin",Just posted,Automation Test Engineer (3 year FTC),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Grifols Worldwide Op Ltd,3,3528,,"Dublin, County Dublin",30+ days ago,Statistical Programmer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",30+ days ago,"Content Operations Team Lead, Play and Android",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Groupon,3.6,903,,"Dublin, County Dublin",30+ days ago,"Software Engineer, Cloud Platform",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",30+ days ago,"Network Operations Engineer, Technical Infrastructure",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
PwC,3.9,9836,,"Dublin, County Dublin",30+ days ago,Tax Technology & Transformation - Associate,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,"Project Manager, Integrity Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Hertz,3.2,8659,,County Dublin,30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Expel,0,0,,"Dublin, County Dublin",30+ days ago,Senior Detection & Response Engineer,124.3,85.7,daily,Not Disclosed
Fineco Asset Management DAC,0,0,,"Dublin, County Dublin",22 days ago,Quantitative Assistant Portfolio Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expel,0,0,,"Dublin, County Dublin",30+ days ago,Detection & Response Engineer,100.6,69.4,daily,Not Disclosed
Coca-Cola,3.8,10731,,"Dublin, County Dublin",14 days ago,"Consultant, Data Engineer",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Bounce Insights,0,0,,"Dublin, County Dublin",4 days ago,DevOps Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",10 days ago,"Technical Program Manager, Geo Data Operations",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Hertz,3.2,8659,,County Dublin,30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Coca-Cola,3.8,10731,,"Dublin, County Dublin",14 days ago,"Consultant, Data Engineer",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,Network Production Engineer Intern,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Apple,4.1,13448,,"Dublin, County Dublin",30+ days ago,QA Manager - Data Analytics - Apple Services Engineering,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
TikTok,3.3,259,,"Dublin, County Dublin",30+ days ago,Site Reliability Engineer - TikTok Machine Learning Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Ireland Support Services Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,2025 Graduate Software Dev Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Optum,3.3,6596,,"Dublin, County Dublin",9 days ago,Principal Data Analyst,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Apple,4.1,13448,,"Dublin, County Dublin",25 days ago,"Site Reliability Engineer (SRE) - Security, Apple Service Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Hertz,3.2,8659,,County Dublin,30+ days ago,Senior Analytics Engineer (Specified Purpose Contract),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Apple,4.1,13448,,"Dublin, County Dublin",17 days ago,System Engineer - Cloud Runtime,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
S&P Global,0,0,,"Dublin, County Dublin",30+ days ago,S&P Global Ratings 2025 CREDit Summer Internship Program - Dublin (Evergreen),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EirGrid Group,0,0,,County Dublin,1 day ago,Principal Network Security Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Workday,3.9,202,,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, DevOps",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Ireland Support Services Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,2025 Graduate Software Dev Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Optum,3.3,6596,,"Dublin, County Dublin",22 days ago,Director Data Analytics,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
TikTok,3.3,259,,"Dublin, County Dublin",30+ days ago,Site Reliability Engineer - TikTok Machine Learning Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Quality Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
U.S. Bank National Association,3.6,11341,,"Dublin, County Dublin",14 days ago,Senior C++ Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Fineco Asset Management,0,0,,"Dublin, County Dublin",30+ days ago,System Administrator/ Dev Ops - 1 Year Fixed Term Contract,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Graduate Cloud Support Associate - Mandarin speaker, Support Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,Quality Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Hewlett Packard Enterprise,3.8,5166,,"Leixlip, County Kildare",30 days ago,AI/ML Ph.D. Internship - Hewlett Packard Labs,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Software Development Engineer, CloudFront Routing",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Integral Ad Science,0,0,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"ReliaQuest, LLC.",0,0,,"Dublin, County Dublin",30+ days ago,Security Engineer - Dublin,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"System Development Engineer, ESC",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,Production Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Information Services Corporation,0,0,,"Dublin, County Dublin",30+ days ago,DevOps Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
General Motors,4,10863,,"Dublin, County Dublin",23 days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Meta,4.1,756,,"Dublin, County Dublin",30+ days ago,Production Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
"ReliaQuest, LLC.",0,0,,"Dublin, County Dublin",30+ days ago,Security Engineer - Dublin,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",30+ days ago,"Senior Software Engineer, Infrastructure, Google Global Networking",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EP UK Investments Ltd,0,0,,"Dublin, County Dublin",29 days ago,Gas and Power Shift Trader,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Apple,4.1,13448,,"Dublin, County Dublin",17 days ago,System Engineer - Cloud Runtime,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Quality Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Google,4.3,5764,,"Dublin, County Dublin",30+ days ago,"Technical Solutions Engineer, Cloud Databases (English, Mandarin)",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Accenture,4,27297,,"Dublin, County Dublin",30+ days ago,Decision Science Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
U.S. Bank National Association,3.6,11341,,"Dublin, County Dublin",14 days ago,Senior C++ Developer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Operations Engineer , AWS Managed Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",24 days ago,"Regional Business Intelligence Manager, DCSS Communities",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",12 days ago,"Lead Architect, Software Engineering",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
dbt Labs,0,0,,"Dublin, County Dublin",30+ days ago,Senior Cloud Network Engineer,104000,76000,yearly,Not Disclosed
Mastercard,4,795,,"Dublin, County Dublin",30+ days ago,Lead Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Analytics Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,Quality Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Irish Life,4.1,23,,"Dublin, County Dublin",30+ days ago,Senior Detection Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Electric Power Research Institute,0,0,,"Dublin, County Dublin",30+ days ago,Staff - Level III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sonatus,0,0,,"Dublin, County Dublin",30+ days ago,Sr. Engineering Manager - Vehicle Applications,Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Fineco Asset Management DAC,0,0,,"Dublin, County Dublin",30+ days ago,System Administrator/Dev Ops (1 year FTC),Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Mediolanum International Funds Limited,3.5,2,,"Dublin, County Dublin",30+ days ago,Portfolio Manager - Multi Management,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30+ days ago,"Digital Cloud Solution Architect - Azure, English & any Western European language",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Tether Operations Limited,0,0,,"Dublin, County Dublin",2 days ago,Software Engineer C++ (100% Remote - Ireland),Not Disclosed,Not Disclosed,Not Disclosed,Remote
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Staff Analytics Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Devops Engineer - Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",21 days ago,"Network Development Engineer , ESC",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",2 days ago,"Software Development Engineer, AWS Security",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Pfizer,4.2,6713,,"Dublin, County Dublin",30+ days ago,"Manager, Cloud Security Product Owner",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,QA Lead,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Integral Ad Science,0,0,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Astreya Partners,2.7,94,,"Dublin, County Dublin",30+ days ago,Network Operations Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Central Risk Book Trader | Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
ZF,0,0,,"Dublin, County Dublin",30+ days ago,Full Stack Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Sirius XM,0,0,,"Dublin, County Dublin",30+ days ago,Staff Analytics Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Remote
Apple,4.1,13448,,"Dublin, County Dublin",3 days ago,Site Reliability Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,Analytics Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,"Cloud Support Engineer - Developer and Mobile Services, Developer and Mobile Services",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Senior Software Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
dbt Labs,0,0,,"Dublin, County Dublin",30+ days ago,Senior Cloud Network Engineer,104000,76000,yearly,Not Disclosed
Adswizz,0,0,,"Dublin, County Dublin",30+ days ago,Quality Engineer III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Data Services Ireland Limited,3.5,51341,,"Dublin, County Dublin",29 days ago,"Systems Engineering, AWS SOC",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Electric Power Research Institute,0,0,,"Dublin, County Dublin",30+ days ago,Staff - Level III,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",2 days ago,"Software Development Engineer, AWS Security",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",30+ days ago,"Systems Development Engineer , CloudWatch Infrastructure",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Development Centre Ireland Limited,3.5,51341,,"Dublin, County Dublin",2 days ago,"Software Development Engineer, AWS Security",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,,"DUBLIN 3, County Dublin",30+ days ago,Senior QA Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Accenture,4,27297,,"Dublin, County Dublin",30+ days ago,Decision Science Manager,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",3 days ago,"Technology Consulting - Data Engineer, Manager",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Apple,4.1,13448,,"Dublin, County Dublin",30 days ago,Distributed Systems Engineer - Cloud Control Plane,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Millennium Management,0,0,,"Dublin, County Dublin",30+ days ago,Network Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Amazon Web Services EMEA SARL (Irish Branch),3.5,51341,,"Dublin, County Dublin",30+ days ago,BigData Cloud Support Engineer- Portuguese Speaker,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Coinbase,0,0,,"Dublin, County Dublin",30+ days ago,Senior Data Scientist,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
NTT DATA,3.5,4669,,"Dublin, County Dublin",30+ days ago,Technical Lead - Core Banking,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Microsoft,4.2,8633,,"Dublin, County Dublin",30+ days ago,"Digital Cloud Solution Architect - Azure, English & any Western European language",Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,,"DUBLIN 3, County Dublin",29 days ago,Senior Data Analytics Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Salesforce,4.2,1246,,"Dublin, County Dublin",24 days ago,Network Engineering Staff,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
MongoDB,3.6,50,,"Dublin, County Dublin",30+ days ago,"Technical Services Engineer, Partner",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Software Developer | Options | Experienced,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Expleo,3,173,,"Dublin, County Dublin",4 days ago,QA Lead,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Salesforce,4.2,1246,,"Dublin, County Dublin",24 days ago,Network Engineering Staff,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Spanish Point Technologies,0,0,,"DUBLIN 3, County Dublin",30+ days ago,Senior QA Automation Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
SAP,4.2,2991,,"Dublin, County Dublin",3 days ago,Business Processes Associate Consultant,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
EY,3.9,10236,,"DUBLIN 2, County Dublin",3 days ago,"Technology Consulting - Data Engineer, Manager",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Microsoft,4.2,8633,,"Dublin, County Dublin",30+ days ago,Principal Software Engineer - Threat Intelligence,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
Squarespace,4.2,49,,"Dublin, County Dublin",3 days ago,"Security Engineer, Investigations",Not Disclosed,Not Disclosed,Not Disclosed,Hybrid work
Susquehanna International Group,3.8,69,,"Dublin, County Dublin",30+ days ago,Site Reliability Engineer,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed
